Author Name,Auth-ID,Number of Documents,Subject Area,Orc_ID,
"Rahimpour, Mohammad Reza",6701362929,492,"Energy
Chemical Engineering
Chemistry
Engineering
Environmental Science
Physics and Astronomy
Materials Science
Earth and Planetary Sciences
Mathematics
Biochemistry, Genetics and Molecular Biology
Multidisciplinary
Social Sciences
Medicine
Economics, Econometrics and Finance
Business, Management and Accounting
Computer Science
Agricultural and Biological Sciences
",0000-0002-1643-3105,
"Nazifi, Saeed",24765228000,353,"Medicine
Veterinary
Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Multidisciplinary
Environmental Science
Materials Science
Engineering
Chemical Engineering
Nursing
Health Professions
Chemistry
Arts and Humanities
Social Sciences
",0000-0002-5501-1028,
"Firouzabadi, Habib",7006142771,292,"Chemistry
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Pharmacology, Toxicology and Pharmaceutics
Materials Science
Engineering
Medicine
Physics and Astronomy
Multidisciplinary
Computer Science
",,
"Iranpoor, Naser",7004293277,289,"Chemistry
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Pharmacology, Toxicology and Pharmaceutics
Materials Science
Environmental Science
Engineering
Medicine
Immunology and Microbiology
Psychology
Physics and Astronomy
Computer Science
",,
"Oryan, Ahmad",7004052039,287,"Medicine
Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
Veterinary
Agricultural and Biological Sciences
Pharmacology, Toxicology and Pharmaceutics
Materials Science
Engineering
Chemical Engineering
Nursing
Chemistry
Health Professions
Environmental Science
Psychology
Physics and Astronomy
",0000-0001-8804-1832,
"Safavi, Afsaneh",7006671359,287,"Chemistry
Biochemistry, Genetics and Molecular Biology
Environmental Science
Materials Science
Engineering
Chemical Engineering
Physics and Astronomy
Computer Science
Energy
Medicine
Pharmacology, Toxicology and Pharmaceutics
Agricultural and Biological Sciences
Mathematics
Earth and Planetary Sciences
Dentistry
Multidisciplinary
Decision Sciences
Veterinary
",0000-0003-3441-1687,
"Sharghi, Hashem",7006318520,282,"Chemistry
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
Environmental Science
Pharmacology, Toxicology and Pharmaceutics
Physics and Astronomy
Engineering
Materials Science
Computer Science
Medicine
Mathematics
Dentistry
Agricultural and Biological Sciences
Earth and Planetary Sciences
Immunology and Microbiology
Energy
",,
"Hemmateenejad, Bahram",6603788790,241,"Chemistry
Biochemistry, Genetics and Molecular Biology
Physics and Astronomy
Materials Science
Chemical Engineering
Pharmacology, Toxicology and Pharmaceutics
Computer Science
Environmental Science
Mathematics
Engineering
Agricultural and Biological Sciences
Medicine
Energy
Immunology and Microbiology
Dentistry
",0000-0003-1830-6043,
"Saadat, Mostafa",7004268892,237,"Medicine
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Neuroscience
Agricultural and Biological Sciences
Environmental Science
Social Sciences
Immunology and Microbiology
Materials Science
Psychology
",0000-0002-0021-4055,
"Pourghasemi, Hamid Reza",55253664900,230,"Environmental Science
Earth and Planetary Sciences
Agricultural and Biological Sciences
Social Sciences
Engineering
Energy
Computer Science
Multidisciplinary
Biochemistry, Genetics and Molecular Biology
Decision Sciences
Physics and Astronomy
Chemical Engineering
Economics, Econometrics and Finance
Medicine
Mathematics
Materials Science
Business, Management and Accounting
Chemistry
",0000-0003-2328-2998,
"Sepaskhah, Ali Reza",7003605088,227,"Agricultural and Biological Sciences
Environmental Science
Earth and Planetary Sciences
Engineering
Biochemistry, Genetics and Molecular Biology
Materials Science
Chemical Engineering
Multidisciplinary
Energy
Chemistry
Decision Sciences
",,
"Esmaeilzadeh, Feridun",6603203765,207,"Chemistry
Chemical Engineering
Materials Science
Energy
Physics and Astronomy
Earth and Planetary Sciences
Engineering
Environmental Science
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Mathematics
Computer Science
Pharmacology, Toxicology and Pharmaceutics
Medicine
Business, Management and Accounting
Multidisciplinary
",0000-0002-6077-8354,
"Sheykhi, Ahmad",55897266600,202,"Physics and Astronomy
Mathematics
Earth and Planetary Sciences
Engineering
Agricultural and Biological Sciences
Chemistry
Decision Sciences
",,
"Esmaeili, Hamid Reza",56225304300,200,"Agricultural and Biological Sciences
Environmental Science
Biochemistry, Genetics and Molecular Biology
Earth and Planetary Sciences
Physics and Astronomy
Medicine
Mathematics
Chemistry
Engineering
Health Professions
Multidisciplinary
Veterinary
Computer Science
Materials Science
",0000-0002-9736-397X,
"Khalafi-Nezhad, Ali",6701490070,191,"Chemistry
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Pharmacology, Toxicology and Pharmaceutics
Materials Science
Environmental Science
Medicine
Computer Science
Energy
Engineering
Physics and Astronomy
Earth and Planetary Sciences
Immunology and Microbiology
Mathematics
Veterinary
Psychology
Agricultural and Biological Sciences
",0000-0002-8502-8752,
"Mowla, Dariush H.",6603710809,184,"Chemical Engineering
Environmental Science
Chemistry
Materials Science
Energy
Engineering
Physics and Astronomy
Earth and Planetary Sciences
Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
Mathematics
Medicine
Multidisciplinary
Computer Science
Business, Management and Accounting
",,
"Sheikhi, Mohammad Hossein",11739103000,175,"Engineering
Materials Science
Physics and Astronomy
Computer Science
Chemistry
Energy
Chemical Engineering
Social Sciences
Mathematics
Environmental Science
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Earth and Planetary Sciences
Medicine
Multidisciplinary
",0000-0002-9290-1951,
"Hendi, Seyed Hossein",13404098700,164,"Physics and Astronomy
Engineering
Mathematics
Earth and Planetary Sciences
Agricultural and Biological Sciences
Chemistry
Materials Science
Chemical Engineering
",0000-0002-4444-6579,
"Moore, Farid",7401899483,164,"Environmental Science
Earth and Planetary Sciences
Agricultural and Biological Sciences
Medicine
Chemistry
Pharmacology, Toxicology and Pharmaceutics
Engineering
Physics and Astronomy
Energy
Mathematics
Social Sciences
Biochemistry, Genetics and Molecular Biology
Materials Science
Business, Management and Accounting
Multidisciplinary
",,
"Zebarjad, Seyyed Mojtaba",6602700716,164,"Materials Science
Engineering
Physics and Astronomy
Chemistry
Chemical Engineering
Business, Management and Accounting
Dentistry
Computer Science
Mathematics
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Earth and Planetary Sciences
Environmental Science
Medicine
Energy
Multidisciplinary
Nursing
",0000-0002-4632-409X,
"Eghtesad, Mohammad",6507397481,162,"Engineering
Computer Science
Mathematics
Physics and Astronomy
Materials Science
Energy
Chemical Engineering
Earth and Planetary Sciences
Environmental Science
Agricultural and Biological Sciences
Multidisciplinary
Chemistry
Medicine
Biochemistry, Genetics and Molecular Biology
",0000-0002-0399-5782,
"Riazi, Masoud",56425776700,159,"Energy
Earth and Planetary Sciences
Chemistry
Chemical Engineering
Materials Science
Physics and Astronomy
Environmental Science
Engineering
Mathematics
Biochemistry, Genetics and Molecular Biology
Medicine
Agricultural and Biological Sciences
Computer Science
Decision Sciences
Social Sciences
",0000-0002-6843-621X,
"Yaghoubi, M.",7003496645,159,"Engineering
Energy
Chemical Engineering
Physics and Astronomy
Computer Science
Environmental Science
Materials Science
Mathematics
Social Sciences
Earth and Planetary Sciences
Chemistry
Agricultural and Biological Sciences
Multidisciplinary
",0000-0001-5921-0254,
"Ghanbari, Teymoor",55401529400,150,"Engineering
Energy
Computer Science
Physics and Astronomy
Mathematics
Environmental Science
Materials Science
Chemical Engineering
Chemistry
Decision Sciences
Social Sciences
",,
"Jarrahpour, Aliasghar Asghar",35566407200,142,"Chemistry
Biochemistry, Genetics and Molecular Biology
Physics and Astronomy
Materials Science
Pharmacology, Toxicology and Pharmaceutics
Earth and Planetary Sciences
Mathematics
Agricultural and Biological Sciences
Engineering
Medicine
Chemical Engineering
Energy
",,
"Boostani, Reza",23134407800,141,"Computer Science
Engineering
Medicine
Neuroscience
Biochemistry, Genetics and Molecular Biology
Mathematics
Chemical Engineering
Energy
Health Professions
Materials Science
Decision Sciences
Physics and Astronomy
Multidisciplinary
Earth and Planetary Sciences
Social Sciences
Chemistry
",0000-0003-0055-4452,
"Fazelzadeh, Seyyed Ahmad",6506216307,140,"Engineering
Physics and Astronomy
Materials Science
Mathematics
Chemical Engineering
Computer Science
Earth and Planetary Sciences
Chemistry
Multidisciplinary
",0000-0003-3079-8271,
"Samet, Haidar",7007166589,139,"Engineering
Energy
Computer Science
Mathematics
Environmental Science
Physics and Astronomy
Materials Science
Chemical Engineering
Decision Sciences
Earth and Planetary Sciences
Economics, Econometrics and Finance
Social Sciences
Multidisciplinary
Neuroscience
",0000-0003-1367-3872,
