Scopus - Author details

,
,

"Author Name","Auth-ID","Number of Documents","Subject Area","Orc_ID"

"Mazani, Mohammad","36731134200","41","Medicine
Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
Environmental Science
Chemical Engineering
Nursing
Agricultural and Biological Sciences
Chemistry
Veterinary
Neuroscience
","0000-0001-9537-8572"
"Mardi, A.","57063280100","8","Medicine
Nursing
Social Sciences
","0000-0001-6503-1332"
"Mirzaaghazadeh, Mohammad","56644960700","1","Medicine
"
"Kaffash, Ahad Jafari","57207459361","1","Agricultural and Biological Sciences
Nursing
"
"Azarkolah, Anita","55917423800","2","Medicine
Pharmacology, Toxicology and Pharmaceutics
","0000-0001-5744-548X"
"Siadati, Arash","57202444085","1","Medicine
"
"Atalu, Abolfazl","35721372600","4","Medicine
"
"Minouei, Morteza","57250654200","2","Pharmacology, Toxicology and Pharmaceutics
Environmental Science
"
"Azadpoor, N.","35195229000","1"
"Azizpour, Islam","57226438335","1","Nursing
"
"Mohammadzadeh Germi, Bahman","57385470600","1","Medicine
"
"Abbasi, Faeze","57220495946","1","Medicine
"
"Ahmadi, Shiva","57221599546","1","Medicine
Nursing
"
"Hazrati, Sadegh","13105667900","40","Environmental Science
Medicine
Engineering
Earth and Planetary Sciences
Multidisciplinary
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Veterinary
Chemical Engineering
Social Sciences
Agricultural and Biological Sciences
","0000-0001-5517-5842"
"Masoum Alizadeh, A.","57191346544","1","Medicine
"
"Feizi, Iraj","24066560500","15","Medicine
Pharmacology, Toxicology and Pharmaceutics
Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
Nursing
","0000-0001-7876-7111"
"Faghihi, Taraneh","57211018525","2","Dentistry
","0000-0002-6728-2626"
"Shadman, Atefeh","57224223313","2","Nursing
Medicine
"
"Dargahi, Abdollah","55763166800","88","Environmental Science
Chemical Engineering
Engineering
Medicine
Pharmacology, Toxicology and Pharmaceutics
Chemistry
Biochemistry, Genetics and Molecular Biology
Materials Science
Energy
Agricultural and Biological Sciences
Physics and Astronomy
"
"Safavi, Mahboubeh","54933549700","1","Medicine
"
"Jamali, Zohreh","57203855775","1","Medicine
"
"Rahim Pouran, Shima","55869868100","34","Chemistry
Chemical Engineering
Environmental Science
Physics and Astronomy
Materials Science
Engineering
Medicine
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Business, Management and Accounting
Energy
Social Sciences
","0000-0002-1891-5204"
"Asadollahi, Javad","57414543200","1","Medicine
"
"Fard, Elham Maleki","57193994281","1","Medicine
"
"Asgarzade, Ali","57226119975","1","Medicine
Immunology and Microbiology
"
"Arab, R.","56467947500","2","Agricultural and Biological Sciences
Immunology and Microbiology
Veterinary
"
"Seddigh, Anoshirvan","57437126200","1","Environmental Science
"
"Hosseini, Nima","57215873533","1","Medicine
"
"Seyedsadeghi, Mirsalim","55881047200","5","Medicine
Immunology and Microbiology
","0000-0002-6106-9381"
"Mohammad Khanlou, Elham","57214800780","1","Pharmacology, Toxicology and Pharmaceutics
Medicine
Environmental Science
Chemical Engineering
"
"Rad, Hamed Imani","57206482504","2","Medicine
"
"Sakaki, Mehran","57190970112","3","Medicine
"
"Shirinzadeh, B.","55656993700","1","Nursing
"
"Ajvadi, Ali Nemati","57207623406","1","Medicine
"
"Farajollahi, Reza","54583231300","3","Medicine
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Health Professions
"
"Jafari, Karim","57203118362","6","Dentistry
Medicine
","0000-0002-7025-145X"
"Chookalayia, Hoda","57195684236","1","Nursing
"
"Abedkouhi, Selma","56655177000","1","Medicine
"
"Pourmohammad, Pirouz","57202060213","7","Biochemistry, Genetics and Molecular Biology
Medicine
Pharmacology, Toxicology and Pharmaceutics
Agricultural and Biological Sciences
Environmental Science
"
"Matboo, Soudabeh Alizadeh","57189590166","9","Medicine
Environmental Science
Engineering
"
"Jahedsani, Asal","57216455857","4","Environmental Science
Pharmacology, Toxicology and Pharmaceutics
Chemical Engineering
Agricultural and Biological Sciences
Medicine
"
"Dostkamel, Donya","57223193194","1","Materials Science
Chemistry
"
"Fathi, Razzag","57195380607","1","Medicine
"
"Habibi Soola, Aghil","57205236518","5","Medicine
Nursing
Biochemistry, Genetics and Molecular Biology
"
"Sadeghpour, Fatemeh","57195067354","4","Medicine
Social Sciences
Health Professions
Nursing
"
"Rafiee, Zahra","55681744900","2","Environmental Science
Earth and Planetary Sciences
Medicine
"
"Danehzan, M.","54934577600","1","Medicine
"
"Teimourpour, Roghayeh","56544569900","22","Medicine
Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
"
"Dehghan, Mohammad Hossein","57197275934","3","Immunology and Microbiology
Medicine
Agricultural and Biological Sciences
"
"Timar, Mojgan","57357037100","1","Medicine
Biochemistry, Genetics and Molecular Biology
"
"Abedi, Ali","36878914100","4","Medicine
Neuroscience
Arts and Humanities
Social Sciences
"
"Fatehi-Aghdam, Maryam","57219856316","2","Medicine
Pharmacology, Toxicology and Pharmaceutics
"
"Bolurian, Mehrdad","57321522100","1","Dentistry
"
"Piroozmand, Parisa","57195946040","2","Medicine
Biochemistry, Genetics and Molecular Biology
Dentistry
"
"Mashhadi, Mohammad","55960297700","1","Medicine
"
"Rezagholizadeh, Lotfollah","57105573000","11","Medicine
Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
Environmental Science
Chemical Engineering
Immunology and Microbiology
","0000-0003-3175-1360"
"Malekzadeh, Vadoud","57202022362","6","Medicine
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Immunology and Microbiology
Chemical Engineering
"
"Nader-Mohammadi Moghadam, Mehriar","57417944100","1","Medicine
Social Sciences
"
"Khoshlahni, Nasrin","57218325873","1","Biochemistry, Genetics and Molecular Biology
"
"Shirzad, Zohreh","55681481800","3","Medicine
Biochemistry, Genetics and Molecular Biology
Neuroscience
"
"Adhami, Vahed","57218709295","4","Medicine
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
"
"Kouhnavard, Mina","16304586000","1","Medicine
"
"Beazar, Neda","57427755900","1","Medicine
"
"Mohammadzadeh, Alireza","56189548300","6","Medicine
Health Professions
Social Sciences
Biochemistry, Genetics and Molecular Biology
","0000-0003-4998-0874"
"Kalarestaghi, Hossein","57205455985","4","Biochemistry, Genetics and Molecular Biology
Medicine
Environmental Science
Pharmacology, Toxicology and Pharmaceutics
"
"Shahabipoura, Sara","56685928300","1","Medicine
Pharmacology, Toxicology and Pharmaceutics
"
"Moharrami, Amir","57217060530","3","Materials Science
Chemistry
Chemical Engineering
","0000-0003-3884-4797"
"Molavi, Parviz","16424418600","20","Medicine
Psychology
Neuroscience
Nursing
Biochemistry, Genetics and Molecular Biology
Health Professions
","0000-0001-9879-3309"
"Fekri, Yousef","57191268934","5","Medicine
Biochemistry, Genetics and Molecular Biology
Engineering
Health Professions
"
"Hoshiar, A.","57212048861","1","Medicine
"
