Scopus - Author details

,
,

"Author Name","Auth-ID","Number of Documents","Subject Area","Orc_ID"

"Adabi, Mahdi","36894434400","34","Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Pharmacology, Toxicology and Pharmaceutics
Engineering
Chemistry
Medicine
Materials Science
Physics and Astronomy
Agricultural and Biological Sciences
Computer Science
Immunology and Microbiology
Mathematics
","0000-0002-7168-3705"
"Hajian, Mahdieh","57164552600","2","Medicine
Physics and Astronomy
Materials Science
Engineering
Health Professions
"
"Mohammadi, Nejad","57203638191","1","Biochemistry, Genetics and Molecular Biology
"
"Moayyedi, Saeid","57188550198","1","Pharmacology, Toxicology and Pharmaceutics
"
"Ahmadi, Akbar","57405897200","1","Medicine
"
"Azami, Mahmoud","36130163700","86","Materials Science
Engineering
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Medicine
Physics and Astronomy
Chemistry
Pharmacology, Toxicology and Pharmaceutics
Neuroscience
Business, Management and Accounting
Multidisciplinary
Mathematics
Agricultural and Biological Sciences
","0000-0003-4209-0668"
"Jafar Ai1","57212526702","1","Medicine
Biochemistry, Genetics and Molecular Biology
"
"Vousoghi, Nasim","57201485789","1","Medicine
"
"Ghaemi, Behnaz","56394434000","14","Materials Science
Pharmacology, Toxicology and Pharmaceutics
Engineering
Chemistry
Medicine
Physics and Astronomy
Multidisciplinary
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
","0000-0003-2220-0428"
"Ghorbani, Mohammad","57219258567","3","Biochemistry, Genetics and Molecular Biology
Medicine
Immunology and Microbiology
"
"Rahban, Dariush","57205288171","8","Biochemistry, Genetics and Molecular Biology
Medicine
Immunology and Microbiology
Materials Science
Engineering
Health Professions
Neuroscience
"
"Shaabani, Elnaz","57202743213","9","Chemistry
Materials Science
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Computer Science
Environmental Science
Pharmacology, Toxicology and Pharmaceutics
Medicine
"
"Karimi Hafshejani, Fateme","57220089104","1","Pharmacology, Toxicology and Pharmaceutics
"
"Negahdari, Babak","55918361200","91","Biochemistry, Genetics and Molecular Biology
Medicine
Pharmacology, Toxicology and Pharmaceutics
Engineering
Immunology and Microbiology
Materials Science
Chemical Engineering
Chemistry
Environmental Science
Physics and Astronomy
Agricultural and Biological Sciences
Neuroscience
Multidisciplinary
","0000-0002-8742-9138"
"Nazari, Bahareh","57203880865","12","Biochemistry, Genetics and Molecular Biology
Engineering
Materials Science
Pharmacology, Toxicology and Pharmaceutics
Immunology and Microbiology
Medicine
Chemical Engineering
Neuroscience
Physics and Astronomy
Business, Management and Accounting
"
"Mohseni, Rashin","57189074184","14","Medicine
Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
Chemical Engineering
Pharmacology, Toxicology and Pharmaceutics
Multidisciplinary
Agricultural and Biological Sciences
Neuroscience
","0000-0003-2452-9163"
"Ghaffari, Mozhan Haji","57222574910","2","Biochemistry, Genetics and Molecular Biology
Medicine
"
"Noory, Parastoo","57226319761","1","Arts and Humanities
Social Sciences
"
"Charkhgard, Nader","57196079477","3","Medicine
Neuroscience
Psychology
Social Sciences
"
"Moeeni, Sedigheh Sadat","57226133785","1","Medicine
"
"Seyhoun, Iman","57204465376","10","Biochemistry, Genetics and Molecular Biology
Medicine
Materials Science
Pharmacology, Toxicology and Pharmaceutics
Engineering
"
"Nazmara, Zohreh","56374140100","11","Medicine
Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Earth and Planetary Sciences
Environmental Science
Engineering
Chemical Engineering
Agricultural and Biological Sciences
"
"Sisakht, Reza Rastgoo","57212609899","3","Medicine
Neuroscience
"
"Tarbali, Sepideh","56573010500","6","Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Medicine
Neuroscience
Immunology and Microbiology
"
"Sharif, Shiva","36474145100","13","Medicine
Biochemistry, Genetics and Molecular Biology
Materials Science
Engineering
Immunology and Microbiology
Neuroscience
"
"Hassanzadeh, Ali","57201985964","35","Biochemistry, Genetics and Molecular Biology
Medicine
Pharmacology, Toxicology and Pharmaceutics
Immunology and Microbiology
Environmental Science
Chemical Engineering
Engineering
Neuroscience
"
"Simonian, Miganoosh","57188641915","14","Medicine
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
"
"Mehdizadeh, Hajar","36081797600","19","Medicine
Neuroscience
Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
Health Professions
Arts and Humanities
Nursing
Environmental Science
Psychology
Multidisciplinary
Agricultural and Biological Sciences
"
"Sahebnasagh, Roxana","57209231750","6","Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Chemistry
Medicine
"
"Niknamasl, Azadeh","56384521100","1","Biochemistry, Genetics and Molecular Biology
"
"Arabpoor, Zohreh","55661724600","7","Materials Science
Engineering
Medicine
Biochemistry, Genetics and Molecular Biology
Physics and Astronomy
Environmental Science
"
"Mahmoudian, Fatemeh","57207583926","5","Medicine
Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
"
"Keshtkar, Somayeh","57201096802","10","Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Medicine
Agricultural and Biological Sciences
Multidisciplinary
Nursing
"
"Rahmani, Mahya","49663965000","7","Materials Science
Biochemistry, Genetics and Molecular Biology
Physics and Astronomy
Engineering
Chemistry
Chemical Engineering
Medicine
"
"Ghani, Kamyar","57196080005","3","Medicine
Psychology
"
"Torkaman-Boutorabi, Anahita","6506952677","24","Neuroscience
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Medicine
Psychology
"
"Panji, Mohammad","57219697936","5","Medicine
Biochemistry, Genetics and Molecular Biology
"
"Karimi, Elaheh","57223929921","1","Neuroscience
Medicine
"
"Sadeghi, Solmaz","57191448400","16","Biochemistry, Genetics and Molecular Biology
Medicine
Pharmacology, Toxicology and Pharmaceutics
Mathematics
Immunology and Microbiology
Materials Science
Agricultural and Biological Sciences
Chemistry
Computer Science
Neuroscience
"
"Rastgoo, Reza","57223113838","1","Medicine
Social Sciences
"
"Ghaleni, Majid Asadi","57224285821","1","Medicine
"
"Najafi-taher, Roqya","57199861931","8","Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
Medicine
Chemical Engineering
Materials Science
Chemistry
"
"Abolghasemi, Reyhaneh","55332255500","4","Medicine
Biochemistry, Genetics and Molecular Biology
Materials Science
Arts and Humanities
Nursing
Engineering
"
"Mousavi, Seyed Mojtaba","57224679295","3","Biochemistry, Genetics and Molecular Biology
Medicine
Pharmacology, Toxicology and Pharmaceutics
Chemistry
"
"Absalan, Moloud","56807042900","8","Biochemistry, Genetics and Molecular Biology
Materials Science
Medicine
Engineering
Pharmacology, Toxicology and Pharmaceutics
Neuroscience
"
"Ghanbari, Hosein","57213599124","2","Biochemistry, Genetics and Molecular Biology
Chemistry
Chemical Engineering
Pharmacology, Toxicology and Pharmaceutics
Computer Science
"
"Nazari, Shahrzad","57202812866","6","Medicine
Pharmacology, Toxicology and Pharmaceutics
Neuroscience
Biochemistry, Genetics and Molecular Biology
Psychology
"
"Ahmadi, Parisa","57222586914","1","Biochemistry, Genetics and Molecular Biology
"
"Karimi, Roya","56384519300","18","Materials Science
Engineering
Medicine
Biochemistry, Genetics and Molecular Biology
Physics and Astronomy
Pharmacology, Toxicology and Pharmaceutics
Chemical Engineering
Immunology and Microbiology
Agricultural and Biological Sciences
Chemistry
"
"Najafabadi, Zeinab Yousefi","57434938800","1","Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
Chemical Engineering
"
"Moghaddam, Fahimeh Salasar","57416534000","1","Immunology and Microbiology
"
"Jobehdar, Maral Mardaneh","57196078241","3","Medicine
Psychology
"
"Esmaeili Ranjbar, Faezeh","57219312199","1","Materials Science
Chemical Engineering
"
"Morabbi, Mohammad Javad","57191365783","2","Medicine
Pharmacology, Toxicology and Pharmaceutics
"
"Nekounam, Houra","56734546300","11","Biochemistry, Genetics and Molecular Biology
Engineering
Materials Science
Physics and Astronomy
Chemistry
Chemical Engineering
Multidisciplinary
Pharmacology, Toxicology and Pharmaceutics
"
"Sadroddiny, Esmaeil","40462198000","51","Medicine
Biochemistry, Genetics and Molecular Biology
Materials Science
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Engineering
Neuroscience
Agricultural and Biological Sciences
Chemistry
Chemical Engineering
Physics and Astronomy
Computer Science
"
"Monzavi, Seyed Mostafa","55620088800","15","Medicine
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
"
"Aghamaleki-Sarvestani, Ziba","57213278671","1","Medicine
Biochemistry, Genetics and Molecular Biology
Neuroscience
"
"Verdi, Javad","16314498700","61","Biochemistry, Genetics and Molecular Biology
Medicine
Engineering
Neuroscience
Pharmacology, Toxicology and Pharmaceutics
Materials Science
Immunology and Microbiology
Chemistry
Environmental Science
Physics and Astronomy
Chemical Engineering
Business, Management and Accounting
Energy
Health Professions
Veterinary
Psychology
Social Sciences
Agricultural and Biological Sciences
"
"Salehi, Mohammad","57226311750","3","Medicine
Neuroscience
Social Sciences
"
"Behzad, Farahnaz","57214234648","8","Biochemistry, Genetics and Molecular Biology
Medicine
Environmental Science
Chemical Engineering
Pharmacology, Toxicology and Pharmaceutics
Materials Science
Chemistry
Engineering
Physics and Astronomy
Energy
"
"Motavaseli, Elaheh","57226286159","1","Medicine
Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Psychology
"
"Ghanbari, Hossein","37031133600","82","Materials Science
Engineering
Biochemistry, Genetics and Molecular Biology
Medicine
Physics and Astronomy
Chemistry
Chemical Engineering
Pharmacology, Toxicology and Pharmaceutics
Neuroscience
Health Professions
Nursing
Multidisciplinary
","0000-0001-7639-995X"
"Farahmandfar, Maryam","12792739000","25","Neuroscience
Pharmacology, Toxicology and Pharmaceutics
Medicine
Biochemistry, Genetics and Molecular Biology
Psychology
"
"Ghafelehbashi, Robabehbeygom","57210220614","3","Materials Science
Engineering
Physics and Astronomy
Chemical Engineering
Pharmacology, Toxicology and Pharmaceutics
"
"Esmaeli, Fariba","56950680600","19","Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Chemical Engineering
Materials Science
Chemistry
Engineering
Medicine
Physics and Astronomy
Immunology and Microbiology
Environmental Science
Nursing
Health Professions
Agricultural and Biological Sciences
Neuroscience
","0000-0003-2936-5890"
"Yazdi, Foad","57189032339","2","Medicine
"
"Jalali Monfared, Marzie","57201698763","3","Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Engineering
Materials Science
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
"
"Asgari, Yazdan","14012476400","34","Biochemistry, Genetics and Molecular Biology
Medicine
Computer Science
Chemistry
Mathematics
Agricultural and Biological Sciences
Chemical Engineering
Physics and Astronomy
Environmental Science
Multidisciplinary
Neuroscience
Veterinary
Earth and Planetary Sciences
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Engineering
Materials Science
","0000-0001-6993-6956"
