Scopus - Author details

,
,

"Author Name","Auth-ID","Number of Documents","Subject Area","Orc_ID"

"Bohairaee, Mohamad","57191429944","1","Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
","0000-0002-6202-3414"
"Ameli, Mohammad Reza","57210796926","2","Medicine
"
"Talebi, Maryam","37008422100","11","Dentistry
Medicine
Physics and Astronomy
Social Sciences
Pharmacology, Toxicology and Pharmaceutics
Environmental Science
Engineering
"
"Nejati, Malihe","57348228200","1","Pharmacology, Toxicology and Pharmaceutics
"
"Saljoughi, Forouzan","57214836837","1","Medicine
"
"Kazemi, Bijan","57200255101","1","Medicine
"
"Soheilipur, Kobra","57321557300","1","Medicine
Pharmacology, Toxicology and Pharmaceutics
"
"Zahedifar, Azadeh","57200302540","1","Medicine
"
"Abedi, Farshid","37092529200","30","Medicine
Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Environmental Science
Veterinary
Chemical Engineering
Social Sciences
Computer Science
"
"Talebpour, Amir","57217872761","2","Biochemistry, Genetics and Molecular Biology
Medicine
Nursing
"
"Noori, Ehsan","57223828723","1","Medicine
"
"Mahdiabadi, Mohammad Ali","55913162500","2","Biochemistry, Genetics and Molecular Biology
Medicine
Health Professions
"
"Sajjadi, Seyed Hamid","7006167160","7","Medicine
"
"Kevghobadi, Naeimeh","57203719959","1","Medicine
"
"Saedabad, Arash Ghorbani Abdi","57205348311","1","Medicine
Biochemistry, Genetics and Molecular Biology
"
"Barati, D. A.","56671302100","1","Medicine
"
"Niroomand, Mohammad Saleh","57339378800","1","Pharmacology, Toxicology and Pharmaceutics
"
"Zargarian, Samaneh","57189594306","1","Medicine
Neuroscience
"
"Nami, Fateme Arefe","57209306041","1","Biochemistry, Genetics and Molecular Biology
"
"Goldani Moghadam, Mahdjoube","55567097800","10","Dentistry
Medicine
Environmental Science
Engineering
"
"Khazir, Zahra","57194750674","7","Medicine
Social Sciences
Health Professions
Biochemistry, Genetics and Molecular Biology
"
"Parashkouh, Nastaran Norouzi","57205025146","2","Medicine
Nursing
"
"Soltanzadeh, Vahideh","57200094261","1","Medicine
"
"Salehi Far, Saleheh","57315027100","1","Medicine
Biochemistry, Genetics and Molecular Biology
"
"Salarfard, Mahla","57214819494","5","Medicine
Nursing
Pharmacology, Toxicology and Pharmaceutics
"
"Roshanravan, Babak","57207997277","20","Environmental Science
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Medicine
Agricultural and Biological Sciences
Immunology and Microbiology
Social Sciences
Neuroscience
"
"Hosseini, Seyed","57225768871","1","Medicine
"
"Tabrizi, Azadeh Alipoor","54992595400","1","Medicine
Pharmacology, Toxicology and Pharmaceutics
"
"Fereidouni, Mohammad","8336398000","53","Medicine
Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Chemical Engineering
Neuroscience
","0000-0002-2576-9452"
"Nozadi, Fatemeh","57328817100","1","Environmental Science
"
"Nowras, Tayebeh","57214068742","2","Medicine
Biochemistry, Genetics and Molecular Biology
"
"Eskandari, Elham","57219240865","1","Agricultural and Biological Sciences
Nursing
"
"Aghaeipour, Farideh","57257664100","1","Medicine
Immunology and Microbiology
"
"Dehghanifiroozabadi, Mohammad","57203868602","7","Medicine
Nursing
Neuroscience
Psychology
"
"Vafayeneghad, Masood","57188859177","1","Medicine
"
"Khademi, Mehrnaz","57216205905","3","Medicine
Dentistry
Pharmacology, Toxicology and Pharmaceutics
"
"Gholami, Mojtaba","57196459241","3","Medicine
Nursing
"
"Behdani, Susan","57208509015","2","Social Sciences
Medicine
Psychology
"
"Ataei, Atefe","57412580300","1","Dentistry
"
"Heydari, Morteza","57412548800","1","Dentistry
"
"Izadpanah, Alimohammad","57206206979","3","Medicine
"
"Bayati, Maryam","57224500859","1","Medicine
"
"Farsi, Mahbubeh","57221690226","1","Environmental Science
Engineering
"
"Entezari, Athar","57193071653","1","Medicine
"
"Shafiee, Toktam","56806966900","2","Agricultural and Biological Sciences
Medicine
Environmental Science
"
"Lavasani, Somayehsadat","57210585456","1","Medicine
"
"Hassanpour Fard, Mohammad","26428772200","10","Medicine
Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
Environmental Science
Social Sciences
Agricultural and Biological Sciences
"
"Rajabi-Moghaddam, Mahdieh","56257797800","9","Medicine
Biochemistry, Genetics and Molecular Biology
Environmental Science
","0000-0002-8276-0171"
"Azin, Seifi","57216510686","1","Medicine
"
"Talebi, Abolfazl","57208235364","3","Medicine
Biochemistry, Genetics and Molecular Biology
Chemistry
"
"Goli, Fahimeh","57209652003","2","Immunology and Microbiology
Medicine
Biochemistry, Genetics and Molecular Biology
"
"Asli, Marziye","56613226200","1","Medicine
Nursing
"
"Babak, Bahman","57216510569","1","Medicine
"
"Alizadeh, Leili","57203980009","1","Dentistry
"
"Dadbeh, Somayeh","55628949200","1","Medicine
"
"Zandi, Nasrin","57218097200","1","Agricultural and Biological Sciences
Medicine
Nursing
"
"Dastjerdi, Kazem","7801497565","7","Biochemistry, Genetics and Molecular Biology
Veterinary
Immunology and Microbiology
Chemical Engineering
Agricultural and Biological Sciences
Arts and Humanities
Pharmacology, Toxicology and Pharmaceutics
Engineering
Neuroscience
","0000-0002-7548-579X"
"Faal, Gholamreza","55971876000","7","Medicine
Nursing
Physics and Astronomy
","0000-0001-6070-8164"
