Scopus - Author details

,
,

"Author Name","Auth-ID","Number of Documents","Subject Area","Orc_ID"

"Keyvani, A.","9271141300","41","Materials Science
Engineering
Physics and Astronomy
Chemistry
Chemical Engineering
Earth and Planetary Sciences
","0000-0003-2968-1017"
"Mobini, Zahra","24330057300","35","Computer Science
Engineering
Social Sciences
Mathematics
Physics and Astronomy
Materials Science
Energy
"
"Pirali, Yaser","16053276700","32","Immunology and Microbiology
Medicine
Agricultural and Biological Sciences
Veterinary
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
"
"Dehkordi, Farzaneh Jafari","57211386502","2","Agricultural and Biological Sciences
Multidisciplinary
"
"Kharazian, Navaz","8605153600","20","Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
Chemistry
Earth and Planetary Sciences
Mathematics
Physics and Astronomy
Multidisciplinary
Environmental Science
Medicine
Pharmacology, Toxicology and Pharmaceutics
Engineering
"
"Saadatjoo, Behnaz","57201442497","1","Chemistry
Biochemistry, Genetics and Molecular Biology
"
"Alipour, Javad","57219306323","3","Social Sciences
Arts and Humanities
"
"Abbaspour, Fatemeh","57202394988","8","Engineering
Mathematics
Materials Science
Medicine
Physics and Astronomy
Neuroscience
Computer Science
"
"Haghshenas, Hamed","56811223000","5","Physics and Astronomy
Chemistry
Materials Science
Biochemistry, Genetics and Molecular Biology
Mathematics
"
"Pirali Kheirabad, E.","57200325424","1","Agricultural and Biological Sciences
"
"Emami, H.","57189181325","1","Mathematics
"
"Hematian, M.","26027869500","1","Agricultural and Biological Sciences
"
"Zarif Sanayei, Hamed Reza","57193381862","17","Engineering
Environmental Science
Earth and Planetary Sciences
Decision Sciences
Agricultural and Biological Sciences
Mathematics
Computer Science
Physics and Astronomy
Materials Science
Chemistry
","0000-0001-8648-9211"
"Mousavifar, Sayyideh Mahboubeh","57219706477","1","Physics and Astronomy
Engineering
Materials Science
"
"Babaei, F.","57208108365","1","Medicine
Pharmacology, Toxicology and Pharmaceutics
"
"Shayanpour, Hamid","37061778800","12","Mathematics
"
"Chermahini, Moslem Amiri","57204070301","1","Engineering
Energy
"
"Baghai, Rasol","56964263300","1","Agricultural and Biological Sciences
Veterinary
"
"Aparviz, Amir","55308018700","1","Biochemistry, Genetics and Molecular Biology
Medicine
"
"Khodambashp, M.","55345430900","1","Agricultural and Biological Sciences
Veterinary
"
"Ghobadi, Amin","54905454900","5","Engineering
Mathematics
Materials Science
Physics and Astronomy
"
"Coauthor, C.","25031289300","1","Engineering
"
"Arabi, M.","57214452064","1","Agricultural and Biological Sciences
"
"Nourbakhsh, Sayed Hassan","56284659800","24","Materials Science
Engineering
Mathematics
Physics and Astronomy
Chemical Engineering
","0000-0002-1747-0100"
"Mahohi, Ali","35318230200","4","Environmental Science
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Immunology and Microbiology
"
"Aghababaiyan, Mohammad Reza","57284668800","1","Engineering
Mathematics
"
"Khoshouie, E. A.","26027916800","1","Agricultural and Biological Sciences
"
"Arab, G. R.","24605136600","5","Engineering
Computer Science
"
"Rahimi Pordanjani, Hossein","57214247488","1","Agricultural and Biological Sciences
"
"Nasirabadi, Mahboobeh Heidari","57210746313","1","Engineering
Immunology and Microbiology
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
"
"Shiriny, Afshin","57206202346","6","Engineering
Chemical Engineering
Physics and Astronomy
Materials Science
Earth and Planetary Sciences
Environmental Science
Chemistry
"
"Badalzadeh, Afsaneh","57249075900","1","Agricultural and Biological Sciences
"
"Shourabi, Seyedeh Fatemeh Nourbakhsh","57216920023","1","Agricultural and Biological Sciences
"
"Samimi, Heshmat Allah","6602468088","40","Chemistry
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
Physics and Astronomy
Materials Science
Pharmacology, Toxicology and Pharmaceutics
Environmental Science
Mathematics
"
"Feeoj, Reza Kalantar","57220072935","2","Energy
Environmental Science
Physics and Astronomy
Social Sciences
Chemistry
"
"Sattari, Farinaz","57219602281","1","Biochemistry, Genetics and Molecular Biology
"
"Farshadirad, Akram","57193082877","4","Earth and Planetary Sciences
Agricultural and Biological Sciences
"
"Ashkan, Zahra","57220167385","1","Biochemistry, Genetics and Molecular Biology
"
"Rasaei, Zahra","57207347314","3","Agricultural and Biological Sciences
Earth and Planetary Sciences
"
"Shirvani, Manizhe","56167338200","1","Physics and Astronomy
Mathematics
Engineering
"
"Norouzi, Akbar","57219412847","4","Environmental Science
Earth and Planetary Sciences
Engineering
Physics and Astronomy
Energy
Business, Management and Accounting
Biochemistry, Genetics and Molecular Biology
Chemistry
Computer Science
"
"Mohsenifar, Najmeh","57194222684","1","Engineering
Energy
"
"Mirzahossini, Zahra","56663188100","1","Medicine
Environmental Science
"
"Mortazavizadeh, Zohreh","57218919140","1","Physics and Astronomy
"
"Heidari Ghahfarrokhi, Zahra","57222488697","1","Environmental Science
Agricultural and Biological Sciences
"
"Rabani, Hassan","24475295700","39","Physics and Astronomy
Materials Science
Chemistry
Engineering
Mathematics
Multidisciplinary
","0000-0002-3327-2040"
"Shojaei, Zahra Asadiyeh","15056957800","9","Agricultural and Biological Sciences
Pharmacology, Toxicology and Pharmaceutics
Computer Science
Medicine
"
"Salehi, Mohammad Mehdi","57200100910","1","Pharmacology, Toxicology and Pharmaceutics
"
"Yazdani, Fatemeh","57409406100","1","Physics and Astronomy
Materials Science
Chemistry
"
"Shaikh-Abol-Hasani, Fatemeh","57217129723","1","Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
"
"Etemadfar, Parisa","57219472921","2","Social Sciences
Arts and Humanities
"
"Alizadeh, P.","55376564800","2","Agricultural and Biological Sciences
"
"Shams, Gholamreza","55595410500","11","Earth and Planetary Sciences
Environmental Science
Agricultural and Biological Sciences
Engineering
Decision Sciences
Energy
Social Sciences
"
"Heidari, Fatemeh","57193531602","1","Medicine
"
"Moasheri, Seyyed Ali","55827163700","1","Environmental Science
Agricultural and Biological Sciences
"
"Beheshti, Sedigheh","57195326271","1","Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
"
"Jamalpoor, Nasrin","57204055182","1","Engineering
Physics and Astronomy
Materials Science
"
"Samadi-Boroujeni, Hossein","24067678500","7","Environmental Science
Earth and Planetary Sciences
Engineering
Energy
Agricultural and Biological Sciences
"
"Karvani, Jamshid","57211232480","1","Chemistry
"
"Hemati, Farshad","57218630042","1","Mathematics
"
"Dashti Khavidaki, Mohammad Hasan","57202334872","1","Medicine
"
"Golestanian, Hossein","6602195376","48","Materials Science
Engineering
Physics and Astronomy
Chemical Engineering
Mathematics
Chemistry
Computer Science
Multidisciplinary
","0000-0002-4857-8464"
"Davoudian, Ali Reza","14420817700","21","Earth and Planetary Sciences
Environmental Science
"
"Khaghani, Amin","26029903600","2","Medicine
"
"Sadeghi, Sajad","57221131664","1","Engineering
Materials Science
Energy
"
"Rahimi Junqani, R.","57218855801","1","Economics, Econometrics and Finance
"
"Keshavarzi, Shokat","6602980947","9","Physics and Astronomy
Materials Science
Engineering
"
"Hosseipur, Alireza","57217679997","1","Agricultural and Biological Sciences
"
"Sadegh, Negar","57222405474","3","Chemistry
Biochemistry, Genetics and Molecular Biology
Physics and Astronomy
Materials Science
Chemical Engineering
"
"Mehrabinia, Parisa","57226461320","2","Environmental Science
Agricultural and Biological Sciences
Earth and Planetary Sciences
Decision Sciences
"
"Alavi, Y.","57190301804","1","Agricultural and Biological Sciences
"
"Shahriaria, E.","56711993600","1","Physics and Astronomy
"
"Kohgard, Masoomeh","55070835900","1","Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
"
"Sepahi, Omid","35724658100","6","Engineering
Mathematics
Materials Science
Computer Science
"
"Ravash, Rudabeh","36098365000","10","Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
Medicine
Multidisciplinary
"
"Kaji, Sakineh Sadeghi","57202533612","1","Materials Science
Engineering
"
"Hajihasani, Mehrdad","57204111363","2","Social Sciences
Environmental Science
Engineering
Medicine
","0000-0002-9585-9357"
"Derakhshandeh, Sayed Yaser","55543388200","20","Engineering
Energy
Mathematics
Computer Science
Physics and Astronomy
"
"Rajaei, N.","57218853634","1","Economics, Econometrics and Finance
"
"Askari, E.","57209838411","1","Medicine
"
"Bagheri, Rohangiz","54412023300","1","Veterinary
"
"Rahimi Domakani, Masoud","55628802700","6","Social Sciences
Arts and Humanities
Computer Science
Psychology
"
"Mohammadali, Roya","57221588245","1","Engineering
Mathematics
"
"Banisharif-Dehkordi, Fatemeh","57206240617","1","Pharmacology, Toxicology and Pharmaceutics
"
"Khosravian-Hemami, Mojdeh","55675944200","1","Agricultural and Biological Sciences
"
"Karami Dehkordi, Mehdi","57194282730","1","Agricultural and Biological Sciences
Computer Science
"
"Tabesh, Marjan","57218000054","1","Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
"
"Khosravi, S.","57209719499","2","Engineering
Materials Science
Physics and Astronomy
"
"Kazemi, Ahmad Reza","56959977200","1","Medicine
"
"Oraei, Hamzeh","34873036100","2","Agricultural and Biological Sciences
"
"Heidarian, Fatemeh","56884684800","3","Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Agricultural and Biological Sciences
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Engineering
"
"Jounaghani, Mahsa Shahi","57216530194","1","Materials Science
Engineering
"
"Saeedi, M.","57196805119","1","Engineering
Physics and Astronomy
Materials Science
"
"Raheimi, Ebrahim","52364632800","1","Medicine
Immunology and Microbiology
"
"Azizi, P.","56993305400","2","Agricultural and Biological Sciences
Veterinary
"
"Pirany, N.","56403166400","18","Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
Veterinary
Immunology and Microbiology
Medicine
","0000-0002-8230-2517"
"Zaheri, Mahbobeh","26221998300","1","Medicine
"
"Feizabadi, Mohsen Faal","57222479779","1","Agricultural and Biological Sciences
"
