Scopus - Author details

,
,

"Author Name","Auth-ID","Number of Documents","Subject Area","Orc_ID"

"Hosseinirad, Mohammad","57201743406","4","Physics and Astronomy
Earth and Planetary Sciences
","0000-0002-5177-4415"
"Zakavi, A.","57208595716","1","Mathematics
"
"Khademy, Ahmad Reza","36548356800","1","Computer Science
"
"Khabbazian, Mohammad Hassan","36548549600","2","Computer Science
"
"Hosseinzadeh, Gholam Ali","57222258004","1","Medicine
Neuroscience
"
"Bahrami, Saeideh","57200541243","2","Mathematics
Arts and Humanities
","0000-0002-8614-6080"
"Monfared, Saleh Khalaj","57211015247","5","Computer Science
Engineering
Mathematics
Medicine
"
"Mohammad Moosavi Nejad, S.","57201274752","6","Physics and Astronomy
Multidisciplinary
"
"Kiani, Dariush","55901832600","78","Mathematics
Computer Science
Chemistry
Physics and Astronomy
Earth and Planetary Sciences
Social Sciences
Engineering
Agricultural and Biological Sciences
","0000-0003-4574-4380"
"Rahimi, Amir M.","16314322200","18","Mathematics
"
"Amiri, Amirnezam","57208315351","6","Physics and Astronomy
Earth and Planetary Sciences
"
"Aslaninejad, M.","25031279500","68","Physics and Astronomy
Materials Science
Engineering
Energy
Chemical Engineering
","0000-0003-4453-0049"
"Yavari, Mahdieh","57023508200","8","Mathematics
"
"Rostami, Mehdi","55204067900","15","Mathematics
Physics and Astronomy
Earth and Planetary Sciences
Agricultural and Biological Sciences
Chemistry
","0000-0001-6086-8176"
"Vincon, Massimiliano","25937572900","2","Physics and Astronomy
"
"Mohammadi Najafabadi, M.","57407571100","3","Physics and Astronomy
"
"Darvish Roknabadi, Esmat","57210313726","1","Physics and Astronomy
"
"Yarmohammadi Satri, M.","56017580200","5","Physics and Astronomy
"
"Ashoorioon, Amjad","57204229650","35","Physics and Astronomy
Mathematics
","0000-0003-4795-6694"
"Ahmadi Moughari, Fatemeh","57207357329","3","Multidisciplinary
"
"Taghavinamin, Mahyar","57205768085","1","Physics and Astronomy
Earth and Planetary Sciences
"
"Khalilian, Hamed","56232719600","3","Physics and Astronomy
Mathematics
Materials Science
"
"Shojaee, Seyed Hossein","36144539600","10","Mathematics
"
"Khosroshahy, Milad Bagherian","57188989453","7","Computer Science
Chemistry
Engineering
Physics and Astronomy
Mathematics
"
"Rajabzadeh, Pedram","8282054300","4","Computer Science
Engineering
Mathematics
"
"Jahangiri, Majid","36537201200","1","Mathematics
"
"Yousefi, E.","56565299300","6","Physics and Astronomy
"
"Sheikholeslamib, S. M.","54929854400","1","Mathematics
Computer Science
"
"Razavi, Seyed Mohammad","57222465573","4","Agricultural and Biological Sciences
Engineering
Multidisciplinary
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Mathematics
Computer Science
"
"Mahin Fallah, Ali","56486146400","6","Mathematics
"
"Ghobadpour, Elham","57226129215","1","Physics and Astronomy
Mathematics
"
"Pakpour, Maryam","55332028700","6","Physics and Astronomy
Mathematics
Biochemistry, Genetics and Molecular Biology
Materials Science
Multidisciplinary
Chemistry
"
"Dayyani, Mohsen","57212147218","3","Physics and Astronomy
"
"Ebrahimi, Mahdi","56500029400","12","Mathematics
","0000-0003-0351-4325"
"Tadavani, Esmaeel Eskandari","57193432060","74","Physics and Astronomy
Engineering
Mathematics
Computer Science
Multidisciplinary
"
"Keshavarz, Mohammad Hossein","57224611114","4","Mathematics
"
"Soleymaninia, Maryam","33267950800","28","Physics and Astronomy
Multidisciplinary
Engineering
Chemistry
","0000-0002-2127-6933"
"Ahmadi, O.","57195259031","1","Physics and Astronomy
"
"Jafari, Mohieddin","57195616556","1","Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
Computer Science
"
"Modarressi, Mehdi","13408135000","72","Computer Science
Engineering
Mathematics
Physics and Astronomy
Energy
Biochemistry, Genetics and Molecular Biology
Social Sciences
"
"Habibi, Somayeh","57211095295","1","Mathematics
"
"Biglari, Shahram","16300971100","5","Mathematics
"
"Esmaeili, Erfan","57202001310","6","Physics and Astronomy
"
"Zarei, Mina","57206276731","9","Physics and Astronomy
Mathematics
Decision Sciences
Multidisciplinary
Computer Science
Neuroscience
"
"Ghafouri, Milad","57172499800","1","Computer Science
"
"Sadeghi, Ali","55793190523","42","Physics and Astronomy
Materials Science
Chemistry
Engineering
Multidisciplinary
Biochemistry, Genetics and Molecular Biology
Energy
Mathematics
Chemical Engineering
","0000-0002-0791-6674"
"Daneshvaramoli, Mohammadreza","57217308667","2","Computer Science
Engineering
Mathematics
"
"Nili, Hossein","57194682527","2","Physics and Astronomy
Chemistry
Multidisciplinary
"
"Doustimehr, Mohammad Reza","55992168300","4","Mathematics
"
"Emamirad, Hassan A.","6601929816","40","Mathematics
Physics and Astronomy
Engineering
Social Sciences
Immunology and Microbiology
Agricultural and Biological Sciences
"
"Jafarzadeh, Morteza","55885283200","19","Physics and Astronomy
Earth and Planetary Sciences
Agricultural and Biological Sciences
Engineering
Mathematics
Chemistry
"
"Nasr Esfahani, D.","37089256100","7","Physics and Astronomy
Materials Science
Energy
Chemistry
"
"Mohammadi Najafabadi, Mojtaba","14829330100","1012","Physics and Astronomy
Engineering
Mathematics
Materials Science
Multidisciplinary
Chemistry
","0000-0001-6131-5987"
"Khakzad, M.","57303549400","109","Physics and Astronomy
Engineering
Mathematics
Computer Science
"
"Yousofzadeh, Malihe","23092465200","29","Mathematics
"
"Sharify, Meisam","55835691800","5","Mathematics
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Environmental Science
Biochemistry, Genetics and Molecular Biology
Social Sciences
Agricultural and Biological Sciences
Computer Science
Neuroscience
"
"Najafabadi","57204415731","1","Physics and Astronomy
"
"Khosroshadi, Habib G.","57196083484","1","Physics and Astronomy
Earth and Planetary Sciences
"
"Shahdoust, Maryam","55675371100","10","Medicine
Biochemistry, Genetics and Molecular Biology
Multidisciplinary
Pharmacology, Toxicology and Pharmaceutics
Nursing
Agricultural and Biological Sciences
"
"Ali-Akbari, Mahdi","54955601900","4","Mathematics
Computer Science
"
"Sharifani, Pouyeh","57199523964","11","Mathematics
Computer Science
"
"Beryani Nezafat, Negin","57196739845","3","Physics and Astronomy
"
"Darehgazani, Abbas","57203870800","4","Mathematics
"
"Dehaqani, Mohammad Reza A.","57190944198","15","Neuroscience
Biochemistry, Genetics and Molecular Biology
Computer Science
Physics and Astronomy
Multidisciplinary
Chemistry
Engineering
Medicine
Social Sciences
"
"Safarzadeh, B.","36170971600","822","Physics and Astronomy
Engineering
Mathematics
Multidisciplinary
"
"Bitaraf, Amir Akhavan","56764600300","1","Engineering
Computer Science
"
"Khan, Najimuddin","56449986400","18","Physics and Astronomy
Engineering
","0000-0002-5335-8992"
"Nozad, Azizeh","57190340396","4","Mathematics
Physics and Astronomy
","0000-0003-2331-4646"
"Gharamaleki, Mohammadbagher Parsa","55618551400","1","Biochemistry, Genetics and Molecular Biology
Computer Science
"
"Zanjani, Soroush Meghdadi","57219032326","1","Computer Science
"
"Mofidi, Alireza","57213006863","8","Mathematics
Engineering
Physics and Astronomy
Arts and Humanities
Computer Science
","0000-0003-0199-955X"
"Nezafati, Mohammad Bagher","16507362700","5","Computer Science
Engineering
Social Sciences
"
"Navabi, Mahdieh","57222144021","2","Physics and Astronomy
Earth and Planetary Sciences
"
"Zabbah, Sajjad","55617217700","6","Neuroscience
Medicine
Psychology
Arts and Humanities
Social Sciences
Multidisciplinary
Mathematics
Computer Science
"
"Ghavipour, Mina","55347003600","19","Computer Science
Business, Management and Accounting
Engineering
Decision Sciences
Chemical Engineering
Chemistry
"
"Rahmati, Maryam","57193220711","1","Physics and Astronomy
Materials Science
Chemistry
"
"Abbasian, Vahid","57193691631","9","Physics and Astronomy
Materials Science
Engineering
Biochemistry, Genetics and Molecular Biology
Multidisciplinary
"
"Khodadadifar, Tina","57210290621","2","Medicine
Health Professions
Neuroscience
"
"Toosi, T.","17436184900","6","Materials Science
Engineering
Physics and Astronomy
Biochemistry, Genetics and Molecular Biology
Mathematics
Computer Science
Neuroscience
"
"Danehdaran, Fahimeh","56709599900","3","Computer Science
Engineering
Mathematics
"
"Rezazadeh, K.","56968101700","14","Physics and Astronomy
Earth and Planetary Sciences
Engineering
","0000-0001-7133-3927"
"Sadri, S.","57219639645","1","Mathematics
Computer Science
"
"Zakeri, S. Peyman","57191040702","3","Physics and Astronomy
"
"Valizadeh, Ali N.","57211522620","2","Mathematics
"
