Scopus - Author details

,
,

"Author Name","Auth-ID","Number of Documents","Subject Area","Orc_ID"

"Charmchian Langerodi, Mehdi","57194563182","6","Agricultural and Biological Sciences
Medicine
","0000-0001-9885-5039"
"Soure, Elham Mousazade","57209368893","1","Computer Science
"
"Niayeshnia, Peyman","57219389995","1","Energy
","0000-0001-8207-4916"
"Baleghi Damavandi, S.","56582209200","3","Medicine
"
"Resketi, Mahsa Rahimi","36806673000","2","Engineering
Computer Science
"
"Fard, Zahra Jafari","55368542900","1","Engineering
Computer Science
"
"Mahdirejei, Hamzeh Amouzad","57210049852","2","Medicine
Pharmacology, Toxicology and Pharmaceutics
"
"Ayyasi, Mitra","56017101700","4","Medicine
Biochemistry, Genetics and Molecular Biology
","0000-0002-4688-4783"
"Langerodi, Mehdi Charmchian","36835466200","4","Agricultural and Biological Sciences
Physics and Astronomy
Materials Science
Environmental Science
Chemical Engineering
Multidisciplinary
Engineering
"
"Talouki, Mehdi Sobhkhiz","55368941600","1","Engineering
Computer Science
"
"Sadeghi, Ghasem","57192693494","2","Business, Management and Accounting
Social Sciences
Decision Sciences
"
"Salehi, Hadi","57204632982","5","Computer Science
Earth and Planetary Sciences
"
"Emami, Hasan","57200922740","5","Biochemistry, Genetics and Molecular Biology
"
"Mofarrah, Ramin","36459888100","9","Medicine
Immunology and Microbiology
"
"Bahnamiri, Faeze Alipour","57221564698","1","Neuroscience
Medicine
"
"Oshriehye, Mostafa","57220077126","1","Medicine
"
"Miar, Shahram","57210856079","1","Agricultural and Biological Sciences
"
"Abbasi, Gh","57208801829","1","Medicine
"
"Dadashi, Vahid","37032846400","13","Mathematics
Decision Sciences
Physics and Astronomy
Chemical Engineering
"
"Rezazadeh, Esmaeil","55711520100","5","Medicine
"
"Mirzaei, Khadijeh","55207411600","1","Physics and Astronomy
Materials Science
"
"Abedi Pahnehkolaei, Seyed Mehdi","57194440583","6","Engineering
Mathematics
Computer Science
Decision Sciences
"
"Hamedani, Saeid Saffarian","57219560797","1","Medicine
"
"Mahdiraji, Ebadollah Amouzad","57189502753","1","Computer Science
"
"Abbasi, Ghodratollah","57216587086","1","Medicine
Psychology
"
"Zand, Behnaz Kazerooni","57195285332","1","Social Sciences
Psychology
"
"Farahabbadi, Ebrahim Bagherian","55855615700","3","Medicine
"
"Zamani, Abbas","57195959250","7","Multidisciplinary
"
"Ghobadiaski, Sueshianth","57220644904","1","Medicine
"
"Ebrahimi, Saeed M.","57204286322","7","Engineering
Physics and Astronomy
Chemical Engineering
Materials Science
Chemistry
"
"Esmaeili, Hemat Ali","57202899815","2","Engineering
"
"Moafi Madani, Seyed Mostafa","57362265400","1","Engineering
"
"M. Ebrahimi, S.","57194418877","2","Engineering
Physics and Astronomy
Materials Science
"
"Vezarati, Moslem","55667970500","1","Biochemistry, Genetics and Molecular Biology
"
"Madavifar, H.","57197820332","1","Medicine
"
"Pashakolaei, Ensieh Rahimi","56046007700","2","Agricultural and Biological Sciences
Environmental Science
"
"Asadysaravi, Seiedehkhadijeh","55673351300","1","Biochemistry, Genetics and Molecular Biology
"
"Mohammadi, Iraj","57050261700","8","Mathematics
Medicine
Physics and Astronomy
Energy
Nursing
Engineering
Health Professions
","0000-0002-2549-1067"
"Abbasi, Ali","56389294200","5","Medicine
Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
"
"Aghamohamadi, Azar","37060290400","1","Medicine
"
"Barzegar, M.","57327609500","1","Medicine
"
"Akbar, Fatemeh Shahidian","57222637555","1","Medicine
"
"Rokni Nakhi, Payam","57212466042","1","Engineering
Mathematics
Energy
"
"Malafe, Neda Sharifi Asadi","57215916135","1","Computer Science
Chemical Engineering
Environmental Science
Biochemistry, Genetics and Molecular Biology
Engineering
"
"Pahlavan, Ali","8944482900","16","Physics and Astronomy
Materials Science
Chemistry
Engineering
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Mathematics
Earth and Planetary Sciences
","0000-0002-3671-7834"
"Shafipor, Sajjad","57214894717","2","Arts and Humanities
Social Sciences
"
"Tahmasebi, H.","55697035900","2","Medicine
Pharmacology, Toxicology and Pharmaceutics
"
"Rabbani, Mohsen","57208831367","36","Mathematics
Computer Science
Engineering
Physics and Astronomy
Chemistry
Earth and Planetary Sciences
Environmental Science
Materials Science
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
","0000-0003-3602-6125"
"Rad, Mohsen Javadi","57193239227","1","Engineering
Computer Science
"
